iter	Passed	Remaining
0	0	90
1	1	90
2	2	90
3	3	88
4	4	86
5	5	89
6	6	90
7	8	93
8	9	91
9	9	89
10	10	88
11	11	86
12	12	84
13	13	83
14	14	82
15	15	80
16	16	79
17	17	78
18	18	78
19	19	77
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	26	74
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	62
37	37	61
38	38	59
39	39	58
40	40	57
41	41	57
42	42	56
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	84	10
89	85	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
